Fid,customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,Type,Date_Time,Label,results
10.42.0.42-125.39.133.40-32922-80-6,C823141445,28,F,28007,M1823072687,28007,es_transportation,7356.83,CASH_OUT,2019-12-16 03:12:29+09,1,1
184.169.166.225-10.42.0.211-443-35228-6,C1951890364,33,F,28007,M1053599405,28007,es_health,1285.02,TRANSFER,2019-12-16 03:14:47+09,0,0
219.142.78.217-10.42.0.42-80-51539-6,C1951890364,46,F,28007,M1913465890,28007,es_health,12076.01,DEBIT,2019-12-16 03:23:36+09,1,1
10.42.0.211-10.42.0.1-53949-53-17,C822948524,21,F,28007,M1823072687,28007,es_transportation,30219.32,CASH_IN,2019-12-16 03:23:48+09,0,0
10.42.0.151-74.125.22.113-49176-443-6,C1242686524,36,M,28007,M348934600,28007,es_transportation,8067.18,CASH_OUT,2019-12-16 03:27:40+09,1,1
10.42.0.211-54.225.208.80-53336-443-6,C956954767,39,F,28007,M348934600,28007,es_transportation,4060.44,CASH_OUT,2019-12-16 03:29:17+09,0,0
10.42.0.211-106.11.14.99-38128-443-6,C579648989,65,F,28007,M1823072687,28007,es_transportation,3218.6,PAYMENT,2019-12-16 03:29:17+09,1,1
10.42.0.151-52.70.125.189-40737-443-6,C1969942970,29,M,28007,M1823072687,28007,es_transportation,2216.1,CASH_IN,2019-12-16 03:29:45+09,0,0
217.69.133.148-10.42.0.211-443-56484-6,C668875156,38,F,28007,M1823072687,28007,es_transportation,14075.52,CASH_OUT,2019-12-16 03:36:01+09,1,1
205.204.101.196-10.42.0.211-443-47713-6,C1237476993,36,M,28007,M348934600,28007,es_transportation,190.4,CASH_IN,2019-12-16 03:43:13+09,0,0
182.22.67.70-10.42.0.211-443-44721-6,C869565327,59,F,28007,M1823072687,28007,es_transportation,17863.7,CASH_OUT,2019-12-16 03:43:28+09,0,0
10.42.0.211-47.88.68.21-44326-443-6,C1177926954,47,M,28007,M348934600,28007,es_transportation,6165.59,CASH_OUT,2019-12-16 03:43:54+09,1,1
10.42.0.42-121.12.98.62-52166-80-6,C370861553,40,M,28007,M1823072687,28007,es_transportation,4346.74,PAYMENT,2019-12-16 03:44:03+09,0,0
209.85.232.188-10.42.0.42-5228-51475-6,C676156739,23,F,28007,M1823072687,28007,es_transportation,11247.48,PAYMENT,2019-12-16 03:44:10+09,1,1
172.217.7.227-10.42.0.211-443-45825-6,C2100825064,67,F,28007,M85975013,28007,es_food,2991.67,PAYMENT,2019-12-16 03:44:19+09,0,0
10.42.0.211-123.125.29.220-55785-80-6,C1148635270,48,F,28007,M1823072687,28007,es_transportation,419726.44,TRANSFER,2019-12-16 04:46:00+09,1,1
172.217.12.163-10.42.0.42-80-56149-6,C725705195,43,F,28007,M1823072687,28007,es_transportation,31712.46,CASH_OUT,2019-12-16 04:48:24+09,0,0
10.42.0.211-104.192.108.27-33311-80-6,C1453275851,40,F,28007,M348934600,28007,es_transportation,1950.51,PAYMENT,2019-12-16 05:01:30+09,0,0
198.11.132.178-10.42.0.211-443-35873-6,C1237709469,52,F,28007,M1823072687,28007,es_transportation,17795.22,CASH_OUT,2019-12-16 05:04:48+09,1,1
10.42.0.211-104.192.110.245-48871-80-6,C1501124312,56,M,28007,M1823072687,28007,es_transportation,1994.37,CASH_OUT,2019-12-16 05:04:57+09,0,0
10.42.0.211-52.84.139.78-41218-80-6,C1256908044,33,F,28007,M1823072687,28007,es_transportation,523951.79,PAYMENT,2019-12-16 05:08:33+09,0,0
172.217.1.165-10.42.0.151-443-55835-6,C1847111025,46,M,28007,M1823072687,28007,es_transportation,5799.24,CASH_OUT,2019-12-16 05:08:18+09,1,1
10.42.0.151-65.52.108.74-53694-443-6,C13098029,41,F,28007,M1823072687,28007,es_transportation,510162.91,CASH_IN,2019-12-16 05:15:42+09,0,0
10.42.0.211-23.208.168.108-37614-443-6,C1625937550,39,F,28007,M1823072687,28007,es_transportation,146918.08,TRANSFER,2019-12-16 05:23:55+09,1,1
10.42.0.211-36.110.213.49-50228-443-6,C855082400,39,M,28007,M1823072687,28007,es_transportation,1814.15,TRANSFER,2019-12-16 05:24:00+09,1,1
10.42.0.211-104.94.222.37-35996-80-6,C923919564,66,F,28007,M1823072687,28007,es_transportation,59336.44,TRANSFER,2019-12-16 05:24:00+09,0,0
172.217.12.205-10.42.0.151-443-51554-6,C1994736634,61,F,28007,M1823072687,28007,es_transportation,123417.93,TRANSFER,2019-12-16 05:24:30+09,1,1
157.240.2.20-10.42.0.42-443-54342-6,C1385780363,33,F,28007,M1823072687,28007,es_transportation,19216.07,TRANSFER,2019-12-16 05:25:09+09,0,0
203.205.147.229-10.42.0.151-80-54883-6,C1953872129,31,M,28007,M1823072687,28007,es_transportation,14864.96,TRANSFER,2019-12-16 05:25:42+09,1,1
172.217.11.46-10.42.0.211-443-52739-6,C1087943403,36,M,28007,M1823072687,28007,es_transportation,252645.56,TRANSFER,2019-12-16 05:33:51+09,0,0
172.217.10.106-10.42.0.151-443-60022-6,C1516006997,52,M,28007,M1823072687,28007,es_transportation,4565.59,TRANSFER,2019-12-16 05:33:53+09,0,0
10.42.0.42-62.138.0.117-56583-80-6,C1084672760,41,F,28007,M1823072687,28007,es_transportation,269323.68,TRANSFER,2019-12-16 05:35:49+09,1,1
10.42.0.42-62.138.0.117-37988-80-6,C297745197,36,F,28007,M1823072687,28007,es_transportation,1216089.31,TRANSFER,2019-12-16 05:37:28+09,0,0
173.194.205.113-10.42.0.211-443-39188-6,C1936855292,28,F,28007,M1823072687,28007,es_transportation,16274.44,TRANSFER,2019-12-16 05:38:53+09,1,1
10.42.0.211-31.13.69.203-39597-443-6,C1509106340,57,F,28007,M1823072687,28007,es_transportation,2271850.59,TRANSFER,2019-12-16 05:39:08+09,0,0
182.22.24.124-10.42.0.42-443-45914-6,C1896250849,43,M,28007,M1823072687,28007,es_transportation,2254744.84,TRANSFER,2019-12-16 05:40:01+09,1,1
172.217.11.2-10.42.0.42-443-58002-6,C587299231,58,F,28007,M1823072687,28007,es_transportation,11810.67,TRANSFER,2019-12-16 05:40:42+09,1,1
10.42.0.211-36.51.254.232-41802-443-6,C447509116,60,M,28007,M348934600,28007,es_transportation,154460.31,TRANSFER,2019-12-16 05:41:48+09,0,0
10.42.0.211-64.71.142.120-37155-443-6,C848293063,40,F,28007,M1823072687,28007,es_transportation,8583.23,TRANSFER,2019-12-16 05:42:05+09,1,1
10.42.0.211-10.42.0.1-60536-53-17,C1440310601,37,F,28007,M1823072687,28007,es_transportation,79562.07,TRANSFER,2019-12-16 05:42:31+09,0,0
10.42.0.151-10.42.0.1-4592-53-17,C2088008854,56,M,28007,M1823072687,28007,es_transportation,19815.17,TRANSFER,2019-12-16 05:42:49+09,1,1
10.42.0.151-10.42.0.1-46899-53-17,C1288983259,38,F,28007,M1823072687,28007,es_transportation,91630.44,TRANSFER,2019-12-16 05:42:54+09,0,0
10.42.0.211-10.42.0.1-34485-53-17,C1622016247,36,F,28007,M1823072687,28007,es_transportation,4435.33,TRANSFER,2019-12-16 05:43:20+09,0,0
10.42.0.151-14.17.42.57-47580-80-6,C1038329920,27,F,28007,M85975013,28007,es_food,26421.72,CASH_OUT,2019-12-16 05:43:44+09,0,0
203.205.190.44-10.42.0.211-80-40149-6,C1567160901,47,F,28007,M1823072687,28007,es_transportation,210818.68,CASH_OUT,2019-12-16 05:44:06+09,1,1
217.69.136.176-10.42.0.211-443-54532-6,C475831512,59,F,28007,M348934600,28007,es_transportation,2224.35,CASH_OUT,2019-12-16 05:44:16+09,0,0
10.42.0.211-64.71.142.110-60545-443-6,C2085186254,48,F,28007,M1823072687,28007,es_transportation,11949.64,PAYMENT,2019-12-16 05:44:44+09,1,1
182.22.31.252-10.42.0.151-443-42680-6,C375459759,31,F,28007,M348934600,28007,es_transportation,2016.14,PAYMENT,2019-12-16 05:45:35+09,0,0
10.42.0.151-10.42.0.1-60642-53-17,C193297871,28,F,28007,M1823072687,28007,es_transportation,6639.72,PAYMENT,2019-12-16 06:13:46+09,1,1
151.101.20.166-10.42.0.151-443-58979-6,C1701618194,47,F,28007,M1823072687,28007,es_transportation,6172.39,CASH_OUT,2019-12-16 06:13:46+09,0,0
10.42.0.151-23.208.31.187-38088-80-6,C948004275,62,M,28007,M1823072687,28007,es_transportation,4034.94,PAYMENT,2019-12-16 06:13:57+09,1,1
10.42.0.211-64.71.142.96-56648-443-6,C1268275182,68,M,28007,M1823072687,28007,es_transportation,9479.4,CASH_OUT,2019-12-16 06:14:56+09,0,0
10.42.0.211-10.42.0.1-24408-53-17,C47462628,61,F,28007,M1823072687,28007,es_transportation,70434.72,CASH_OUT,2019-12-16 06:16:25+09,1,1
10.42.0.211-10.42.0.1-4439-53-17,C2126019044,33,M,28007,M1823072687,28007,es_transportation,101834.71,PAYMENT,2019-12-16 06:17:13+09,0,0
10.42.0.211-10.42.0.1-38902-53-17,C2086664398,68,F,28007,M1823072687,28007,es_transportation,8682.6,CASH_OUT,2019-12-16 06:23:34+09,1,1
10.42.0.151-36.51.254.232-56812-443-6,C474891377,37,M,28007,M1823072687,28007,es_transportation,6973.19,PAYMENT,2019-12-16 06:23:48+09,0,0
10.42.0.211-52.94.232.33-56670-443-6,C1911281701,58,M,28007,M1823072687,28007,es_transportation,5299.07,PAYMENT,2019-12-16 06:23:58+09,1,1
172.217.12.206-10.42.0.151-443-45172-6,C869954068,39,F,28007,M1823072687,28007,es_transportation,184657.73,CASH_IN,2019-12-16 06:26:03+09,0,0
10.42.0.211-10.42.0.1-49524-53-17,C1461258616,39,F,28007,M1946091778,28007,es_wellnessandbeauty,94244.8,PAYMENT,2019-12-16 06:28:06+09,1,1
10.42.0.211-54.243.255.169-36483-443-6,C1087227796,38,M,28007,M1823072687,28007,es_transportation,37951.21,PAYMENT,2019-12-16 06:28:26+09,0,0
182.22.31.252-10.42.0.211-443-48439-6,C1871594117,24,M,28007,M1823072687,28007,es_transportation,1447857.9,PAYMENT,2019-12-16 06:28:56+09,1,1
174.35.73.93-10.42.0.211-443-35572-6,C405168301,51,F,28007,M1823072687,28007,es_transportation,172532.33,PAYMENT,2019-12-16 06:30:25+09,0,0
10.42.0.211-10.42.0.1-30971-53-17,C571876967,29,M,28007,M348934600,28007,es_transportation,282127.67,TRANSFER,2019-12-16 06:32:32+09,1,1
172.217.11.14-10.42.0.151-80-60369-6,C1359092613,23,F,28007,M348934600,28007,es_transportation,178721.71,CASH_OUT,2019-12-16 06:32:54+09,0,0
10.42.0.151-36.110.213.49-57576-443-6,C1693925346,31,F,28007,M1823072687,28007,es_transportation,7212.45,CASH_IN,2019-12-16 06:34:11+09,1,1
182.22.25.124-10.42.0.211-443-54099-6,C1202775726,23,F,28007,M1823072687,28007,es_transportation,15619.41,PAYMENT,2019-12-16 06:34:17+09,0,0
131.253.61.100-10.42.0.211-443-53267-6,C1959067413,83,M,28007,M1823072687,28007,es_transportation,356891.14,CASH_OUT,2019-12-16 07:20:11+09,1,1
10.42.0.151-10.42.0.1-35280-53-17,C534961358,44,F,28007,M1823072687,28007,es_transportation,33173.34,CASH_OUT,2019-12-16 07:20:12+09,0,0
10.42.0.151-13.107.3.128-51794-443-6,C1439470393,44,F,28007,M85975013,28007,es_food,123062.61,CASH_OUT,2019-12-16 07:21:45+09,0,0
183.36.108.199-10.42.0.211-80-45244-6,C100992504,50,F,28007,M1823072687,28007,es_transportation,16813.35,CASH_OUT,2019-12-16 07:22:56+09,0,0
10.42.0.151-36.110.213.174-45867-443-6,C343982358,33,M,28007,M1823072687,28007,es_transportation,97584.4,CASH_OUT,2019-12-16 07:24:06+09,1,1
172.217.3.106-10.42.0.211-443-43130-6,C836959718,39,M,28007,M1823072687,28007,es_transportation,4849.23,CASH_OUT,2019-12-16 07:24:05+09,0,0
10.42.0.211-10.42.0.1-12222-53-17,C85388733,40,F,28007,M1823072687,28007,es_transportation,28247.91,CASH_OUT,2019-12-16 07:24:49+09,1,1
172.217.11.46-10.42.0.151-443-51208-6,C572958608,69,M,28007,M1823072687,28007,es_transportation,581.72,CASH_OUT,2019-12-16 07:25:12+09,0,0
180.149.135.239-10.42.0.42-80-45492-6,C1368070837,23,F,28007,M1823072687,28007,es_transportation,16545.03,CASH_OUT,2019-12-16 07:25:14+09,0,0
10.42.0.151-10.42.0.1-65086-53-17,C752270622,51,F,28007,M1823072687,28007,es_transportation,41902.41,CASH_OUT,2019-12-16 07:26:04+09,0,0
175.100.207.232-10.42.0.211-80-56476-6,C207576555,66,F,28007,M1823072687,28007,es_transportation,10807.85,CASH_OUT,2019-12-16 07:41:04+09,1,1
10.42.0.211-10.42.0.1-12545-53-17,C1501782229,47,F,28007,M85975013,28007,es_food,243452.54,CASH_OUT,2019-12-16 07:41:19+09,0,0
10.42.0.211-31.13.71.7-60499-443-6,C33256704,66,F,28007,M85975013,28007,es_food,8774.22,CASH_OUT,2019-12-16 07:42:26+09,1,1
172.217.11.14-10.42.0.151-443-46114-6,C835705223,23,F,28007,M1823072687,28007,es_transportation,39226.48,CASH_OUT,2019-12-16 07:48:02+09,0,0
10.42.0.1-10.42.0.42-53-50861-17,C2094478222,47,F,28007,M348934600,28007,es_transportation,182480.42,CASH_OUT,2019-12-16 08:37:06+09,1,1
172.217.12.174-10.42.0.151-443-60701-6,C989137613,44,F,28007,M480139044,28007,es_health,476175.32,CASH_OUT,2019-12-16 08:39:40+09,0,0
180.149.153.234-10.42.0.42-80-44265-6,C1385115265,44,F,28007,M1823072687,28007,es_transportation,110.7,CASH_OUT,2019-12-16 08:39:43+09,0,0
10.42.0.211-77.234.42.92-58596-443-6,C1400397779,50,M,28007,M1823072687,28007,es_transportation,118120.97,CASH_OUT,2019-12-16 08:52:48+09,0,0
10.42.0.151-36.110.213.49-37939-80-6,C1132565589,61,F,28007,M1823072687,28007,es_transportation,12363.31,CASH_OUT,2019-12-16 09:05:17+09,1,1
10.42.0.211-52.85.101.106-36067-443-6,C485578112,32,F,28007,M348934600,28007,es_transportation,25788.78,CASH_OUT,2019-12-16 09:07:22+09,0,0
10.42.0.211-23.21.95.195-34939-443-6,C987955759,52,F,28007,M1823072687,28007,es_transportation,9134.28,CASH_OUT,2019-12-16 09:09:17+09,1,1
10.42.0.211-10.42.0.1-47571-53-17,C375144053,51,F,28007,M1823072687,28007,es_transportation,8476.04,CASH_OUT,2019-12-16 09:19:35+09,0,0
10.42.0.211-108.174.10.10-49526-80-6,C650117238,32,M,28007,M1198415165,28007,es_wellnessandbeauty,6724.98,CASH_OUT,2019-12-16 09:19:43+09,0,0
10.42.0.42-98.137.201.232-53623-443-6,C1923945958,37,M,28007,M692898500,28007,es_health,14385.25,CASH_OUT,2019-12-16 09:42:18+09,1,1
10.42.0.42-13.32.250.43-35014-443-6,C1923945958,54,M,28007,M50039827,28007,es_health,2251322.58,CASH_OUT,2019-12-16 09:48:24+09,0,0
8.0.6.4-8.6.0.1-0-0-0,C1124718683,33,M,28007,M1823072687,28007,es_transportation,15074.95,CASH_OUT,2019-12-16 10:34:47+09,0,0
10.42.0.211-23.192.76.180-43980-443-6,C1884342559,63,F,28007,M1823072687,28007,es_transportation,22708.33,CASH_OUT,2019-12-16 10:37:01+09,0,0
172.217.3.99-10.42.0.211-443-33080-6,C1266329800,29,F,28007,M85975013,28007,es_food,10436.39,CASH_OUT,2019-12-16 10:37:03+09,1,1
220.243.205.152-10.42.0.211-80-56447-6,C1914057832,24,F,28007,M348934600,28007,es_transportation,359114.93,CASH_OUT,2019-12-16 10:37:27+09,0,0
10.42.0.211-119.146.74.34-33376-80-6,C1914057832,50,F,28007,M1823072687,28007,es_transportation,6866.17,CASH_OUT,2019-12-16 10:38:23+09,0,0
10.42.0.211-112.73.28.69-51163-80-6,C2055156879,34,F,28007,M85975013,28007,es_food,793.17,CASH_OUT,2019-12-16 10:38:59+09,1,1
180.149.136.194-10.42.0.42-80-39353-6,C1290093162,71,F,28007,M1823072687,28007,es_transportation,4070.5,CASH_OUT,2019-12-16 10:41:36+09,0,0
172.217.11.46-10.42.0.151-443-34721-6,C695108722,30,M,28007,M1823072687,28007,es_transportation,15772.76,CASH_OUT,2019-12-16 14:25:00+09,1,1
172.217.10.234-10.42.0.211-443-47468-6,C228882909,52,M,28007,M1313686961,28007,es_contents,4870.11,CASH_OUT,2019-12-16 14:24:41+09,0,0
172.217.11.42-10.42.0.42-443-35388-6,C99017559,28,M,28007,M1823072687,28007,es_transportation,3506.73,CASH_OUT,2019-12-16 14:24:43+09,1,1
172.217.3.106-10.42.0.42-443-46661-6,C1392385769,62,M,28007,M348934600,28007,es_transportation,3191.05,CASH_OUT,2019-12-16 14:25:02+09,1,1
172.217.12.202-10.42.0.211-443-58261-6,C935791733,39,U,28007,M1823072687,28007,es_transportation,19388.52,CASH_OUT,2019-12-16 14:25:08+09,0,0
10.42.0.151-52.192.237.93-34570-443-6,C902837455,46,M,28007,M1823072687,28007,es_transportation,15861.86,CASH_OUT,2019-12-16 14:25:10+09,1,1
10.42.0.42-64.71.142.96-52644-443-6,C174977934,36,F,28007,M348934600,28007,es_transportation,10013.6,CASH_OUT,2019-12-16 14:25:30+09,0,0
172.217.10.234-10.42.0.211-443-46670-6,C752612398,65,F,28007,M1946091778,28007,es_wellnessandbeauty,11872.93,CASH_OUT,2019-12-16 14:29:19+09,0,0
10.42.0.211-23.208.146.200-46055-443-6,C599293124,35,F,28007,M348934600,28007,es_transportation,13092.18,CASH_OUT,2019-12-16 14:40:44+09,1,1
172.217.9.227-10.42.0.151-443-59567-6,C1261640227,31,M,28007,M1823072687,28007,es_transportation,2061.89,CASH_OUT,2019-12-16 14:40:18+09,0,0
10.42.0.151-10.42.0.1-43701-53-17,C16613795,52,F,28007,M1823072687,28007,es_transportation,7237.39,CASH_OUT,2019-12-16 14:41:29+09,1,1
10.42.0.151-52.216.1.211-44200-443-6,C1763371495,34,F,28007,M1823072687,28007,es_transportation,277979.97,CASH_OUT,2019-12-16 14:41:37+09,0,0
10.42.0.1-10.42.0.42-53-50004-17,C1732752834,31,M,28007,M1823072687,28007,es_transportation,238698.96,CASH_OUT,2019-12-16 14:45:27+09,1,1
10.42.0.42-31.13.80.5-51256-443-6,C1649412954,36,M,28007,M1823072687,28007,es_transportation,410.26,CASH_OUT,2019-12-16 14:47:26+09,1,1
172.217.7.195-10.42.0.151-80-38631-6,C521213907,39,M,28007,M1823072687,28007,es_transportation,151502.54,CASH_OUT,2019-12-16 15:07:55+09,0,0
239.255.255.250-10.42.0.151-1900-54101-17,C333484923,35,M,28007,M1823072687,28007,es_transportation,35027.29,CASH_OUT,2019-12-16 15:08:26+09,1,1
10.42.0.211-54.221.220.45-60222-443-6,C1326829513,51,M,28007,M348934600,28007,es_transportation,10807.84,CASH_OUT,2019-12-16 15:08:43+09,0,0
180.149.136.194-10.42.0.211-443-41883-6,C2055489140,39,M,28007,M348934600,28007,es_transportation,260497.43,CASH_OUT,2019-12-16 15:10:06+09,1,1
255.255.255.255-0.0.0.0-67-68-17,C918659260,39,F,28007,M1823072687,28007,es_transportation,175416.47,CASH_OUT,2019-12-16 15:10:31+09,1,1
10.42.0.211-23.15.4.18-57577-80-6,C1823983599,39,F,28007,M1823072687,28007,es_transportation,51564.27,CASH_OUT,2019-12-16 15:12:25+09,0,0
182.22.120.252-10.42.0.151-443-43857-6,C461219673,47,F,28007,M480139044,28007,es_health,177218.18,CASH_OUT,2019-12-16 15:13:06+09,0,0
10.42.0.211-34.204.254.35-47708-443-6,C461219673,64,F,28007,M692898500,28007,es_health,335810.67,CASH_OUT,2019-12-16 15:13:31+09,0,0
8.8.8.8-10.42.0.211-53-31813-17,C461219673,38,F,28007,M50039827,28007,es_health,77045.31,CASH_OUT,2019-12-16 15:13:54+09,1,1
239.255.255.250-10.42.0.1-1900-36011-17,C446298173,36,F,28007,M1823072687,28007,es_transportation,6496.82,CASH_OUT,2019-12-16 15:14:24+09,0,0
172.217.6.206-10.42.0.151-443-60753-6,C1525483242,39,M,28007,M348934600,28007,es_transportation,13070.26,CASH_OUT,2019-12-16 15:16:25+09,0,0
10.42.0.1-10.42.0.42-53-7454-17,C709211172,53,F,28007,M1823072687,28007,es_transportation,138620.08,CASH_OUT,2019-12-16 15:38:30+09,0,0
10.42.0.211-72.21.207.79-43284-443-6,C1704116821,36,M,28007,M348934600,28007,es_transportation,17851.98,CASH_OUT,2019-12-16 15:38:30+09,1,1
10.42.0.211-23.206.173.182-40989-80-6,C1704116821,44,M,28007,M1823072687,28007,es_transportation,395912.52,CASH_OUT,2019-12-16 15:38:31+09,0,0
8.0.6.4-8.6.0.1-0-0-0,C1141481813,48,M,28007,M1823072687,28007,es_transportation,273380.87,CASH_OUT,2019-12-16 15:38:32+09,1,1
10.42.0.211-14.29.93.254-40927-80-6,C1828909550,37,M,28007,M1823072687,28007,es_transportation,15850.12,CASH_OUT,2019-12-16 15:38:35+09,0,0
8.0.6.4-8.6.0.1-0-0-0,C660475396,43,M,28007,M1823072687,28007,es_transportation,304115.59,CASH_OUT,2019-12-16 15:38:39+09,1,1
10.42.0.211-10.42.0.1-7841-53-17,C387520458,53,M,28007,M348934600,28007,es_transportation,16932.23,CASH_OUT,2019-12-16 15:41:53+09,1,1
10.42.0.211-23.208.87.120-52643-80-6,C387520458,33,M,28007,M1823072687,28007,es_transportation,15089.44,CASH_OUT,2019-12-16 15:41:54+09,0,0
174.35.73.108-10.42.0.42-80-50195-6,C346030769,39,F,28007,M348934600,28007,es_transportation,221304.95,CASH_OUT,2019-12-16 15:42:08+09,0,0
239.255.255.250-10.42.0.1-1900-54617-17,C346030769,52,F,28007,M1823072687,28007,es_transportation,91699.36,CASH_OUT,2019-12-16 15:42:51+09,1,1
172.217.10.227-10.42.0.151-443-41556-6,C1667002698,64,M,28007,M1823072687,28007,es_transportation,22363.03,CASH_OUT,2019-12-16 15:45:02+09,0,0
172.217.7.14-10.42.0.151-443-37276-6,C570913468,52,F,28007,M1823072687,28007,es_transportation,360.19,CASH_OUT,2019-12-16 15:46:18+09,0,0
169.54.33.154-10.42.0.211-443-58965-6,C1095604325,42,F,28007,M1823072687,28007,es_transportation,191321.45,CASH_OUT,2019-12-16 15:56:38+09,0,0
172.217.10.34-10.42.0.211-443-44118-6,C899895612,35,M,28007,M1823072687,28007,es_transportation,328028.06,CASH_OUT,2019-12-16 15:58:36+09,1,1
239.255.255.250-10.42.0.1-1900-48778-17,C1745468920,56,F,28007,M1823072687,28007,es_transportation,13235.9,CASH_OUT,2019-12-16 15:59:40+09,0,0
192.229.173.173-10.42.0.151-443-35041-6,C476313806,55,F,28007,M151143676,28007,es_barsandrestaurants,108696.62,CASH_OUT,2019-12-16 16:24:26+09,1,1
209.10.120.26-10.42.0.211-80-37319-6,C1452053500,40,F,28007,M348934600,28007,es_transportation,25271.65,CASH_OUT,2019-12-16 16:25:30+09,0,0
